UKBPPP_ProteinID	olink_target_fullname	OlinkID	UniProt	Assay	Panel	Panel_Lot_Nr	UniProt2	HGNC.symbol	ensembl_id	chr	gene_start	gene_end	Strand	Dilution_factor	block	expansion
CXCL11:O14625:OID21042:v1	C-X-C motif chemokine 11	OID21042	O14625	CXCL11	Neurology	B04414	O14625	CXCL11	ENSG00000169248	4	76033682	76041415	-1	1:10	C	no
CXCL12:P48061:OID20464:v1	Stromal cell-derived factor 1	OID20464	P48061	CXCL12	Inflammation	B04411	P48061	CXCL12	ENSG00000107562	10	44370165	44386493	-1	1:1	A	no
CXCL13:O43927:OID21024:v1	C-X-C motif chemokine 13	OID21024	O43927	CXCL13	Neurology	B04414	O43927	CXCL13	ENSG00000156234	4	77511753	77611834	1	1:10	C	no
CXCL14:O95715:OID20458:v1	C-X-C motif chemokine 14	OID20458	O95715	CXCL14	Inflammation	B04411	O95715	CXCL14	ENSG00000145824	5	135570679	135579279	-1	1:1	A	no
CXCL16:Q9H2A7:OID20282:v1	C-X-C motif chemokine 16	OID20282	Q9H2A7	CXCL16	Cardiometabolic	B04413	Q9H2A7	CXCL16	ENSG00000161921	17	4733533	4739928	-1	1:100	C	no
CXCL17:Q6UXB2:OID20622:v1	C-X-C motif chemokine 17	OID20622	Q6UXB2	CXCL17	Inflammation	B04411	Q6UXB2	CXCL17	ENSG00000189377	19	42428278	42442946	-1	1:1	C	no
CXCL3:P19876:OID20788:v1	C-X-C motif chemokine 3	OID20788	P19876	CXCL3	Inflammation	B04411	P19876	CXCL3	ENSG00000163734	4	74036589	74038807	-1	1:10	D	no
CXCL5:P42830:OID20207:v1	C-X-C motif chemokine 5	OID20207	P42830	CXCL5	Cardiometabolic	B04413	P42830	CXCL5	ENSG00000163735	4	73995642	73998677	-1	1:10	B	no
CXCL6:P80162:OID20613:v1	C-X-C motif chemokine 6	OID20613	P80162	CXCL6	Inflammation	B04411	P80162	CXCL6	ENSG00000124875	4	73836640	73849064	1	1:1	C	no
CXCL8:P10145:OID20153:v1	Interleukin-8	OID20153	P10145	CXCL8	Cardiometabolic	B04413	P10145	CXCL8	ENSG00000169429	4	73740541	73743716	1	1:10	B	no
CXCL8:P10145:OID20631:v1	Interleukin-8	OID20631	P10145	CXCL8	Inflammation	B04411	P10145	CXCL8	ENSG00000169429	4	73740541	73743716	1	1:1	C	no
CXCL8:P10145:OID20997:v1	Interleukin-8	OID20997	P10145	CXCL8	Neurology	B04414	P10145	CXCL8	ENSG00000169429	4	73740541	73743716	1	1:1	B	no
CXCL8:P10145:OID21430:v1	Interleukin-8	OID21430	P10145	CXCL8	Oncology	B04412	P10145	CXCL8	ENSG00000169429	4	73740541	73743716	1	1:1	C	no
CXCL9:Q07325:OID20675:v1	C-X-C motif chemokine 9	OID20675	Q07325	CXCL9	Inflammation	B04411	Q07325	CXCL9	ENSG00000138755	4	76001275	76007509	-1	1:10	D	no
DAB2:P98082:OID21428:v1	Disabled homolog 2	OID21428	P98082	DAB2	Oncology	B04412	P98082	DAB2	ENSG00000153071	5	39371675	39462300	-1	1:1	C	no
DAG1:Q14118:OID20774:v1	Dystroglycan	OID20774	Q14118	DAG1	Inflammation	B04411	Q14118	DAG1	ENSG00000173402	3	49468703	49535618	1	1:10	D	no
DAPP1:Q9UN19:OID20524:v1	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide	OID20524	Q9UN19	DAPP1	Inflammation	B04411	Q9UN19	DAPP1	ENSG00000070190	4	99816827	99870190	1	1:1	B	no
DARS1:P14868:OID20903:v1	Aspartate--tRNA ligase, cytoplasmic	OID20903	P14868	DARS1	Neurology	B04414	P14868	DARS1	ENSG00000115866	2	135905881	135986100	-1	1:1	B	no
DBI:P07108:OID21143:v1	Acyl-CoA-binding protein	OID21143	P07108	DBI	Neurology	B04414	P07108	DBI	ENSG00000155368	2	119366924	119372550	1	1:100	D	no
DBNL:Q9UJU6:OID20681:v1	Drebrin-like protein	OID20681	Q9UJU6	DBNL	Inflammation	B04411	Q9UJU6	DBNL	ENSG00000136279	7	44044640	44069456	1	1:10	D	no
DCBLD2:Q96PD2:OID21474:v1	Discoidin, CUB and LCCL domain-containing protein 2	OID21474	Q96PD2	DCBLD2	Oncology	B04412	Q96PD2	DCBLD2	ENSG00000057019	3	98795941	98901695	-1	1:10	D	no
DCN:P07585:OID20106:v1	Decorin	OID20106	P07585	DCN	Cardiometabolic	B04413	P07585	DCN	ENSG00000011465	12	91140484	91183217	-1	1:1	A	no
DCTN1:Q14203:OID21399:v1	Dynactin subunit 1	OID21399	Q14203	DCTN1	Oncology	B04412	Q14203	DCTN1	ENSG00000204843	2	74361154	74392087	-1	1:1	C	no
DCTN2:Q13561:OID21334:v1	Dynactin subunit 2	OID21334	Q13561	DCTN2	Oncology	B04412	Q13561	DCTN2	ENSG00000175203	12	57529633	57547224	-1	1:1	B	no
DCTN6:O00399:OID20879:v1	Dynactin subunit 6	OID20879	O00399	DCTN6	Neurology	B04414	O00399	DCTN6	ENSG00000104671	8	30156319	30183639	1	1:1	A	no
DCTPP1:Q9H773:OID20148:v1	dCTP pyrophosphatase 1	OID20148	Q9H773	DCTPP1	Cardiometabolic	B04413	Q9H773	DCTPP1	ENSG00000179958	16	30423615	30430030	-1	1:10	B	no
DCXR:Q7Z4W1:OID21480:v1	L-xylulose reductase	OID21480	Q7Z4W1	DCXR	Oncology	B04412	Q7Z4W1	DCXR	ENSG00000169738	17	82035136	82037709	-1	1:10	D	no
DDAH1:O94760:OID21299:v1	Dimethylarginine dimethylaminohydrolase 1	OID21299	O94760	DDAH1	Oncology	B04412	O94760	DDAH1	ENSG00000153904	1	85318481	85578363	-1	1:1	B	no
DDC:P20711:OID20215:v1	Aromatic-L-amino-acid decarboxylase	OID20215	P20711	DDC	Cardiometabolic	B04413	P20711	DDC	ENSG00000132437	7	50458436	50565405	-1	1:10	B	no
DDR1:Q08345:OID21009:v1	Epithelial discoidin domain-containing receptor 1	OID21009	Q08345	DDR1	Neurology	B04414	Q08345	DDR1	ENSG00000204580	6	30876421	30900156	1	1:10	C	no
DDX58:O95786:OID21226:v1	Antiviral innate immune response receptor RIG-I	OID21226	O95786	DDX58	Oncology	B04412	O95786	DDX58	ENSG00000107201	9	32455302	32526208	-1	1:1	A	no
DECR1:Q16698:OID20579:v1	2,4-dienoyl-CoA reductase, mitochondrial	OID20579	Q16698	DECR1	Inflammation	B04411	Q16698	DECR1	ENSG00000104325	8	90001405	90053633	1	1:1	B	no
DEFA1_DEFA1B:P59665:OID20344:v1	Neutrophil defensin 1	OID20344	P59665	DEFA1_DEFA1B	Cardiometabolic	B04413	P59665	DEFA1	ENSG00000206047	8	6977649	6980092	-1	1:1000	D	no
DEFA1_DEFA1B:P59665:OID20344:v1	Neutrophil defensin 1	OID20344	P59665	DEFA1_DEFA1B	Cardiometabolic	B04413	P59665	DEFA1B	ENSG00000240247	8	6996766	6999198	-1	1:1000	D	no
DEFB4A_DEFB4B:O15263:OID21373:v1	Beta-defensin 4A	OID21373	O15263	DEFB4A_DEFB4B	Oncology	B04412	O15263	DEFB4A	ENSG00000171711	8	7894677	7896716	1	1:1	B	no
DEFB4A_DEFB4B:O15263:OID21373:v1	Beta-defensin 4A	OID21373	O15263	DEFB4A_DEFB4B	Oncology	B04412	O15263	DEFB4B	ENSG00000177257	8	7414855	7416863	-1	1:1	B	no
DFFA:O00273:OID20620:v1	DNA fragmentation factor subunit alpha	OID20620	O00273	DFFA	Inflammation	B04411	O00273	DFFA	ENSG00000160049	1	10456522	10472529	-1	1:1	C	no
DGKZ:Q13574:OID20466:v1	Diacylglycerol kinase zeta	OID20466	Q13574	DGKZ	Inflammation	B04411	Q13574	DGKZ	ENSG00000149091	11	46332905	46380554	1	1:1	A	no
DIABLO:Q9NR28:OID20184:v1	Diablo homolog, mitochondrial	OID20184	Q9NR28	DIABLO	Cardiometabolic	B04413	Q9NR28	DIABLO	ENSG00000184047	12	122207663	122227456	-1	1:10	B	no
DKK1:O94907:OID21066:v1	Dickkopf-related protein 1	OID21066	O94907	DKK1	Neurology	B04414	O94907	DKK1	ENSG00000107984	10	52314281	52318042	1	1:10	C	no
DKK3:Q9UBP4:OID20264:v1	Dickkopf-related protein 3	OID20264	Q9UBP4	DKK3	Cardiometabolic	B04413	Q9UBP4	DKK3	ENSG00000050165	11	11956207	12009769	-1	1:100	C	no
DKK4:Q9UBT3:OID20934:v1	Dickkopf-related protein 4	OID20934	Q9UBT3	DKK4	Neurology	B04414	Q9UBT3	DKK4	ENSG00000104371	8	42374063	42377229	-1	1:1	B	no
DKKL1:Q9UK85:OID21313:v1	Dickkopf-like protein 1	OID21313	Q9UK85	DKKL1	Oncology	B04412	Q9UK85	DKKL1	ENSG00000104901	19	49361783	49375116	1	1:1	B	no
DLK1:P80370:OID20295:v1	Protein delta homolog 1	OID20295	P80370	DLK1	Cardiometabolic	B04413	P80370	DLK1	ENSG00000185559	14	100725705	100738224	1	1:100	C	no
DLL1:O00548:OID21525:v1	Delta-like protein 1	OID21525	O00548	DLL1	Oncology	B04412	O00548	DLL1	ENSG00000198719	6	170282206	170306565	-1	1:10	D	no
DNAJA2:O60884:OID20627:v1	DnaJ homolog subfamily A member 2	OID20627	O60884	DNAJA2	Inflammation	B04411	O60884	DNAJA2	ENSG00000069345	16	46955362	46973674	-1	1:1	C	no
DNAJB1:P25685:OID21363:v1	DnaJ homolog subfamily B member 1	OID21363	P25685	DNAJB1	Oncology	B04412	P25685	DNAJB1	ENSG00000132002	19	14514769	14560391	-1	1:1	B	no
DNAJB8:Q8NHS0:OID20093:v1	DnaJ homolog subfamily B member 8	OID20093	Q8NHS0	DNAJB8	Cardiometabolic	B04413	Q8NHS0	DNAJB8	ENSG00000179407	3	128462437	128466968	-1	1:1	A	no
DNER:Q8NFT8:OID20712:v1	Delta and Notch-like epidermal growth factor-related receptor	OID20712	Q8NFT8	DNER	Inflammation	B04411	Q8NFT8	DNER	ENSG00000187957	2	229357629	229714555	-1	1:10	D	no
DNMBP:Q6XZF7:OID20956:v1	Dynamin-binding protein	OID20956	Q6XZF7	DNMBP	Neurology	B04414	Q6XZF7	DNMBP	ENSG00000107554	10	99875577	100009947	-1	1:1	B	no
DNPH1:O43598:OID20744:v1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	OID20744	O43598	DNPH1	Inflammation	B04411	O43598	DNPH1	ENSG00000112667	6	43225629	43229481	-1	1:10	D	no
DOK2:O60496:OID20138:v1	Docking protein 2	OID20138	O60496	DOK2	Cardiometabolic	B04413	O60496	DOK2	ENSG00000147443	8	21908873	21913690	-1	1:10	B	no
DPEP1:P16444:OID20897:v1	Dipeptidase 1	OID20897	P16444	DPEP1	Neurology	B04414	P16444	DPEP1	ENSG00000015413	16	89613308	89638456	1	1:1	B	no
DPEP2:Q9H4A9:OID21305:v1	Dipeptidase 2	OID21305	Q9H4A9	DPEP2	Oncology	B04412	Q9H4A9	DPEP2	ENSG00000167261	16	67987394	68000586	-1	1:1	B	no
DPP10:Q8N608:OID20527:v1	Inactive dipeptidyl peptidase 10	OID20527	Q8N608	DPP10	Inflammation	B04411	Q8N608	DPP10	ENSG00000175497	2	114442299	115845780	1	1:1	B	no
DPP4:P27487:OID20406:v1	Dipeptidyl peptidase 4	OID20406	P27487	DPP4	Cardiometabolic	B04413	P27487	DPP4	ENSG00000197635	2	161992245	162074394	-1	1:1000	D	no
DPP6:P42658:OID21354:v1	Dipeptidyl aminopeptidase-like protein 6	OID21354	P42658	DPP6	Oncology	B04412	P42658	DPP6	ENSG00000130226	7	153887097	154894285	1	1:1	B	no
DPP7:Q9UHL4:OID20142:v1	Dipeptidyl peptidase 2	OID20142	Q9UHL4	DPP7	Cardiometabolic	B04413	Q9UHL4	DPP7	ENSG00000176978	9	137110546	137115177	-1	1:10	B	no
DPT:Q07507:OID20278:v1	Dermatopontin	OID20278	Q07507	DPT	Cardiometabolic	B04413	Q07507	DPT	ENSG00000143196	1	168695468	168729206	-1	1:100	C	no
DPY30:Q9C005:OID21410:v1	Protein dpy-30 homolog	OID21410	Q9C005	DPY30	Oncology	B04412	Q9C005	DPY30	ENSG00000162961	2	31867809	32039805	-1	1:1	C	no
DRAXIN:Q8NBI3:OID20917:v1	Draxin	OID20917	Q8NBI3	DRAXIN	Neurology	B04414	Q8NBI3	DRAXIN	ENSG00000162490	1	11691710	11725857	1	1:1	B	no
DRG2:P55039:OID21335:v1	Developmentally-regulated GTP-binding protein 2	OID21335	P55039	DRG2	Oncology	B04412	P55039	DRG2	ENSG00000108591	17	18087892	18107970	1	1:1	B	no
DSC2:Q02487:OID21079:v1	Desmocollin-2	OID21079	Q02487	DSC2	Neurology	B04414	Q02487	DSC2	ENSG00000134755	18	31058840	31102522	-1	1:100	D	no
DSG2:Q14126:OID21113:v1	Desmoglein-2	OID21113	Q14126	DSG2	Neurology	B04414	Q14126	DSG2	ENSG00000046604	18	31498177	31549008	1	1:100	D	no
DSG3:P32926:OID21460:v1	Desmoglein-3	OID21460	P32926	DSG3	Oncology	B04412	P32926	DSG3	ENSG00000134757	18	31447741	31478702	1	1:1	C	no
DSG4:Q86SJ6:OID21325:v1	Desmoglein-4	OID21325	Q86SJ6	DSG4	Oncology	B04412	Q86SJ6	DSG4	ENSG00000175065	18	31376777	31414912	1	1:1	B	no
DTX3:Q8N9I9:OID21349:v1	Probable E3 ubiquitin-protein ligase DTX3	OID21349	Q8N9I9	DTX3	Oncology	B04412	Q8N9I9	DTX3	ENSG00000178498	12	57604622	57609804	1	1:1	B	no
DUOX2:Q9NRD8:OID20059:v1	Dual oxidase 2	OID20059	Q9NRD8	DUOX2	Cardiometabolic	B04413	Q9NRD8	DUOX2	ENSG00000140279	15	45092650	45114172	-1	1:1	A	no
DUSP3:P51452:OID20827:v1	Dual specificity protein phosphatase 3	OID20827	P51452	DUSP3	Neurology	B04414	P51452	DUSP3	ENSG00000108861	17	43766125	43778977	-1	1:1	A	no
EBAG9:O00559:OID20918:v1	Receptor-binding cancer antigen expressed on SiSo cells	OID20918	O00559	EBAG9	Neurology	B04414	O00559	EBAG9	ENSG00000147654	8	109539711	109565996	1	1:1	B	no
EBI3_IL27:Q14213_Q8NEV9:OID21389:v1	Interleukin-27	OID21389	Q14213_Q8NEV9	EBI3_IL27	Oncology	B04412	Q14213	EBI3	ENSG00000105246	19	4229523	4237528	1	1:1	C	no
EBI3_IL27:Q14213_Q8NEV9:OID21389:v1	Interleukin-27	OID21389	Q14213_Q8NEV9	EBI3_IL27	Oncology	B04412	Q8NEV9	IL27	ENSG00000197272	16	28499362	28512051	-1	1:1	C	no
ECE1:P42892:OID20891:v1	Endothelin-converting enzyme 1	OID20891	P42892	ECE1	Neurology	B04414	P42892	ECE1	ENSG00000117298	1	21217247	21345572	-1	1:1	A	no
EDA2R:Q9HAV5:OID21451:v1	Tumor necrosis factor receptor superfamily member 27	OID21451	Q9HAV5	EDA2R	Oncology	B04412	Q9HAV5	EDA2R	ENSG00000131080	X	66595637	66639298	-1	1:1	C	no
EDAR:Q9UNE0:OID20525:v1	Tumor necrosis factor receptor superfamily member EDAR	OID20525	Q9UNE0	EDAR	Inflammation	B04411	Q9UNE0	EDAR	ENSG00000135960	2	108894471	108989372	-1	1:1	B	no
EDIL3:O43854:OID20081:v1	EGF-like repeat and discoidin I-like domain-containing protein 3	OID20081	O43854	EDIL3	Cardiometabolic	B04413	O43854	EDIL3	ENSG00000164176	5	83940554	84384880	-1	1:1	A	no
EFEMP1:Q12805:OID20414:v1	EGF-containing fibulin-like extracellular matrix protein 1	OID20414	Q12805	EFEMP1	Cardiometabolic	B04413	Q12805	EFEMP1	ENSG00000115380	2	55865967	55924139	-1	1:1000	D	no
EFNA1:P20827:OID21125:v1	Ephrin-A1	OID21125	P20827	EFNA1	Neurology	B04414	P20827	EFNA1	ENSG00000169242	1	155127876	155134899	1	1:100	D	no
EFNA4:P52798:OID20935:v1	Ephrin-A4	OID20935	P52798	EFNA4	Neurology	B04414	P52798	EFNA4	ENSG00000243364	1	155063737	155069553	1	1:1	B	no
EGF:P01133:OID20698:v1	Pro-epidermal growth factor	OID20698	P01133	EGF	Inflammation	B04411	P01133	EGF	ENSG00000138798	4	109912883	110013766	1	1:10	D	no
EGFL7:Q9UHF1:OID21252:v1	Epidermal growth factor-like protein 7	OID21252	Q9UHF1	EGFL7	Oncology	B04412	Q9UHF1	EGFL7	ENSG00000172889	9	136658856	136672678	1	1:1	A	no
EGFR:P00533:OID20319:v1	Epidermal growth factor receptor	OID20319	P00533	EGFR	Cardiometabolic	B04413	P00533	EGFR	ENSG00000146648	7	55019017	55211628	1	1:100	C	no
EGLN1:Q9GZT9:OID20572:v1	Egl nine homolog 1	OID20572	Q9GZT9	EGLN1	Inflammation	B04411	Q9GZT9	EGLN1	ENSG00000135766	1	231363751	231422287	-1	1:1	B	no
EIF4B:P23588:OID21000:v1	Eukaryotic translation initiation factor 4B	OID21000	P23588	EIF4B	Neurology	B04414	P23588	EIF4B	ENSG00000063046	12	53006282	53042215	1	1:1	B	no
EIF4EBP1:Q13541:OID20162:v1	Eukaryotic translation initiation factor 4E-binding protein 1	OID20162	Q13541	EIF4EBP1	Cardiometabolic	B04413	Q13541	EIF4EBP1	ENSG00000187840	8	38030534	38060365	1	1:10	B	no
EIF4G1:Q04637:OID20625:v1	Eukaryotic translation initiation factor 4 gamma 1	OID20625	Q04637	EIF4G1	Inflammation	B04411	Q04637	EIF4G1	ENSG00000114867	3	184314495	184335358	1	1:1	C	no
EIF5A:P63241:OID20423:v1	Eukaryotic translation initiation factor 5A-1	OID20423	P63241	EIF5A	Inflammation	B04411	P63241	EIF5A	ENSG00000132507	17	7306999	7312463	1	1:1	A	no
ELOA:Q14241:OID21337:v1	Elongin-A	OID21337	Q14241	ELOA	Oncology	B04412	Q14241	ELOA	ENSG00000011007	1	23743448	23762059	1	1:1	B	no
ENAH:Q8N8S7:OID20497:v1	Protein enabled homolog	OID20497	Q8N8S7	ENAH	Inflammation	B04411	Q8N8S7	ENAH	ENSG00000154380	1	225486829	225653142	-1	1:1	A	no
ENG:P17813:OID20287:v1	Endoglin	OID20287	P17813	ENG	Cardiometabolic	B04413	P17813	ENG	ENSG00000106991	9	127815013	127854658	-1	1:100	C	no
ENO1:P06733:OID21037:v1	Alpha-enolase	OID21037	P06733	ENO1	Neurology	B04414	P06733	ENO1	ENSG00000074800	1	8861000	8879190	-1	1:10	C	no
ENO2:P09104:OID21046:v1	Gamma-enolase	OID21046	P09104	ENO2	Neurology	B04414	P09104	ENO2	ENSG00000111674	12	6913745	6923698	1	1:10	C	no
ENPP2:Q13822:OID20288:v1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	OID20288	Q13822	ENPP2	Cardiometabolic	B04413	Q13822	ENPP2	ENSG00000136960	8	119557086	119673453	-1	1:100	C	no
ENPP5:Q9UJA9:OID20736:v1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	OID20736	Q9UJA9	ENPP5	Inflammation	B04411	Q9UJA9	ENPP5	ENSG00000112796	6	46159185	46170980	-1	1:10	D	no
ENPP7:Q6UWV6:OID20689:v1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	OID20689	Q6UWV6	ENPP7	Inflammation	B04411	Q6UWV6	ENPP7	ENSG00000182156	17	79730943	79742219	1	1:10	D	no
ENTPD2:Q9Y5L3:OID21260:v1	Ectonucleoside triphosphate diphosphohydrolase 2	OID21260	Q9Y5L3	ENTPD2	Oncology	B04412	Q9Y5L3	ENTPD2	ENSG00000054179	9	137048107	137054061	-1	1:1	A	no
ENTPD5:O75356:OID20104:v1	Ectonucleoside triphosphate diphosphohydrolase 5	OID20104	O75356	ENTPD5	Cardiometabolic	B04413	O75356	ENTPD5	ENSG00000187097	14	73958010	74019399	-1	1:1	A	no
ENTPD6:O75354:OID20100:v1	Ectonucleoside triphosphate diphosphohydrolase 6	OID20100	O75354	ENTPD6	Cardiometabolic	B04413	O75354	ENTPD6	ENSG00000197586	20	25195693	25228075	1	1:1	A	no
EPCAM:P16422:OID20743:v1	Epithelial cell adhesion molecule	OID20743	P16422	EPCAM	Inflammation	B04411	P16422	EPCAM	ENSG00000119888	2	47345158	47387601	1	1:10	D	no
EPHA1:P21709:OID20677:v1	Ephrin type-A receptor 1	OID20677	P21709	EPHA1	Inflammation	B04411	P21709	EPHA1	ENSG00000146904	7	143390289	143408856	-1	1:10	D	no
EPHA10:Q5JZY3:OID20840:v1	Ephrin type-A receptor 10	OID20840	Q5JZY3	EPHA10	Neurology	B04414	Q5JZY3	EPHA10	ENSG00000183317	1	37713880	37765133	-1	1:1	A	no
EPHA2:P29317:OID21342:v1	Ephrin type-A receptor 2	OID21342	P29317	EPHA2	Oncology	B04412	P29317	EPHA2	ENSG00000142627	1	16124337	16156069	-1	1:1	B	no
EPHB4:P54760:OID20242:v1	Ephrin type-B receptor 4	OID20242	P54760	EPHB4	Cardiometabolic	B04413	P54760	EPHB4	ENSG00000196411	7	100802565	100827523	-1	1:100	C	no
EPHB6:O15197:OID20982:v1	Ephrin type-B receptor 6	OID20982	O15197	EPHB6	Neurology	B04414	O15197	EPHB6	ENSG00000106123	7	142855061	142871094	1	1:1	B	no
EPHX2:P34913:OID20119:v1	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2	OID20119	P34913	EPHX2	Cardiometabolic	B04413	P34913	EPHX2	ENSG00000120915	8	27490781	27545564	1	1:1	A	no
EPO:P01588:OID20522:v1	Erythropoietin	OID20522	P01588	EPO	Inflammation	B04411	P01588	EPO	ENSG00000130427	7	100720468	100723700	1	1:1	B	no
EPS8L2:Q9H6S3:OID21397:v1	Epidermal growth factor receptor kinase substrate 8-like protein 2	OID21397	Q9H6S3	EPS8L2	Oncology	B04412	Q9H6S3	EPS8L2	ENSG00000177106	11	694438	727727	1	1:1	C	no
ERBB2:P04626:OID21520:v1	Receptor tyrosine-protein kinase erbB-2	OID21520	P04626	ERBB2	Oncology	B04412	P04626	ERBB2	ENSG00000141736	17	39687914	39730426	1	1:10	D	no
ERBB3:P21860:OID20705:v1	Receptor tyrosine-protein kinase erbB-3	OID20705	P21860	ERBB3	Inflammation	B04411	P21860	ERBB3	ENSG00000065361	12	56076799	56103505	1	1:10	D	no
ERBB4:Q15303:OID21510:v1	Receptor tyrosine-protein kinase erbB-4	OID21510	Q15303	ERBB4	Oncology	B04412	Q15303	ERBB4	ENSG00000178568	2	211375717	212538841	-1	1:10	D	no
ERBIN:Q96RT1:OID21323:v1	Erbin	OID21323	Q96RT1	ERBIN	Oncology	B04412	Q96RT1	ERBIN	ENSG00000112851	5	65926556	66082546	1	1:1	B	no
EREG:O14944:OID20905:v1	Proepiregulin [Cleaved into: Epiregulin	OID20905	O14944	EREG	Neurology	B04414	O14944	EREG	ENSG00000124882	4	74365145	74388749	1	1:1	B	no
ERP44:Q9BS26:OID21338:v1	Endoplasmic reticulum resident protein 44	OID21338	Q9BS26	ERP44	Oncology	B04412	Q9BS26	ERP44	ENSG00000023318	9	99979185	100099052	-1	1:1	B	no
ESAM:Q96AP7:OID20270:v1	Endothelial cell-selective adhesion molecule	OID20270	Q96AP7	ESAM	Cardiometabolic	B04413	Q96AP7	ESAM	ENSG00000149564	11	124752583	124762290	-1	1:100	C	no
ESM1:Q9NQ30:OID20758:v1	Endothelial cell-specific molecule 1	OID20758	Q9NQ30	ESM1	Inflammation	B04411	Q9NQ30	ESM1	ENSG00000164283	5	54977867	55022671	-1	1:10	D	no
EZR:P15311:OID21017:v1	Ezrin	OID21017	P15311	EZR	Neurology	B04414	P15311	EZR	ENSG00000092820	6	158765741	158819368	-1	1:10	C	no
F11R:Q9Y624:OID21151:v1	Junctional adhesion molecule A	OID21151	Q9Y624	F11R	Neurology	B04414	Q9Y624	F11R	ENSG00000158769	1	160995211	161021343	-1	1:100	D	no
F2R:P25116:OID20691:v1	Proteinase-activated receptor 1	OID20691	P25116	F2R	Inflammation	B04411	P25116	F2R	ENSG00000181104	5	76716126	76735770	1	1:10	D	no
F3:P13726:OID21440:v1	Tissue factor	OID21440	P13726	F3	Oncology	B04412	P13726	F3	ENSG00000117525	1	94529173	94541759	-1	1:1	C	no
F7:P08709:OID20372:v1	Coagulation factor VII	OID20372	P08709	F7	Cardiometabolic	B04413	P08709	F7	ENSG00000057593	13	113105788	113120685	1	1:1000	D	no
F9:P00740:OID20349:v1	Coagulation factor IX	OID20349	P00740	F9	Cardiometabolic	B04413	P00740	F9	ENSG00000101981	X	139530739	139563459	1	1:1000	D	no
FABP1:P07148:OID20778:v1	Fatty acid-binding protein, liver	OID20778	P07148	FABP1	Inflammation	B04411	P07148	FABP1	ENSG00000163586	2	88122982	88128062	-1	1:10	D	no
FABP2:P12104:OID20200:v1	Fatty acid-binding protein, intestinal	OID20200	P12104	FABP2	Cardiometabolic	B04413	P12104	FABP2	ENSG00000145384	4	119317250	119322138	-1	1:10	B	no
FABP4:P15090:OID20245:v1	Fatty acid-binding protein, adipocyte	OID20245	P15090	FABP4	Cardiometabolic	B04413	P15090	FABP4	ENSG00000170323	8	81478419	81483236	-1	1:100	C	no
FABP5:Q01469:OID21043:v1	Fatty acid-binding protein 5	OID21043	Q01469	FABP5	Neurology	B04414	Q01469	FABP5	ENSG00000164687	8	81280536	81284777	1	1:10	C	no
FABP6:P51161:OID20076:v1	Gastrotropin	OID20076	P51161	FABP6	Cardiometabolic	B04413	P51161	FABP6	ENSG00000170231	5	160187367	160238735	1	1:1	A	no
FABP9:Q0Z7S8:OID20501:v1	Fatty acid-binding protein 9	OID20501	Q0Z7S8	FABP9	Inflammation	B04411	Q0Z7S8	FABP9	ENSG00000205186	8	81458253	81461579	-1	1:1	B	no
FADD:Q13158:OID20151:v1	FAS-associated death domain protein	OID20151	Q13158	FADD	Cardiometabolic	B04413	Q13158	FADD	ENSG00000168040	11	70203296	70207390	1	1:10	B	no
FAM3B:P58499:OID21372:v1	Protein FAM3B	OID21372	P58499	FAM3B	Oncology	B04412	P58499	FAM3B	ENSG00000183844	21	41304212	41357727	1	1:1	B	no
FAM3C:Q92520:OID20233:v1	Protein FAM3C	OID20233	Q92520	FAM3C	Cardiometabolic	B04413	Q92520	FAM3C	ENSG00000196937	7	121348878	121396364	-1	1:10	B	no
FAP:Q12884:OID20330:v1	Prolyl endopeptidase FAP	OID20330	Q12884	FAP	Cardiometabolic	B04413	Q12884	FAP	ENSG00000078098	2	162170684	162245151	-1	1:100	C	no
FAS:P25445:OID20316:v1	Tumor necrosis factor receptor superfamily member 6	OID20316	P25445	FAS	Cardiometabolic	B04413	P25445	FAS	ENSG00000026103	10	88953813	89029605	1	1:100	C	no
FASLG:P48023:OID20665:v1	Tumor necrosis factor ligand superfamily member 6	OID20665	P48023	FASLG	Inflammation	B04411	P48023	FASLG	ENSG00000117560	1	172659103	172666876	1	1:1	C	no
FBP1:P09467:OID20227:v1	Fructose-1,6-bisphosphatase 1	OID20227	P09467	FBP1	Cardiometabolic	B04413	P09467	FBP1	ENSG00000165140	9	94603133	94640249	-1	1:10	B	no
FCAR:P24071:OID20564:v1	Immunoglobulin alpha Fc receptor	OID20564	P24071	FCAR	Inflammation	B04411	P24071	FCAR	ENSG00000186431	19	54874235	54891420	1	1:1	B	no
FCER2:P06734:OID21133:v1	Low affinity immunoglobulin epsilon Fc receptor	OID21133	P06734	FCER2	Neurology	B04414	P06734	FCER2	ENSG00000104921	19	7688758	7702146	-1	1:100	D	no
FCGR2A:P12318:OID20391:v1	Low affinity immunoglobulin gamma Fc region receptor II-a	OID20391	P12318	FCGR2A	Cardiometabolic	B04413	P12318	FCGR2A	ENSG00000143226	1	161505430	161524013	1	1:1000	D	no
